,Name,Sex upon Outcome,Adopt,Age_days,Sex,cfa_breed,coat_pattern,pattern,Cat_Kitten_Neonatal
42797,1,Spayed Female,1,77,Female,0,no pattern,0,Kitten
42798,0,Intact Female,0,72,Female,0,tortie,1,Kitten
42799,0,Neutered Male,1,740,Male,0,tabby,1,Adult
42800,0,Intact Female,0,372,Female,0,no pattern,0,Adult
42801,1,Neutered Male,1,96,Male,0,tabby,1,Kitten
42802,0,Intact Female,0,369,Female,1,tortie,1,Adult
42803,1,Neutered Male,1,137,Male,0,tabby,1,Kitten
42804,1,Intact Female,1,63,Female,0,calico,1,Kitten
42805,0,Intact Male,0,31,Male,0,no pattern,0,Neonatal
42806,1,Neutered Male,1,2837,Male,0,no pattern,0,Adult
42807,1,Neutered Male,1,76,Male,0,tabby,1,Kitten
42808,0,Neutered Male,1,121,Male,0,point,1,Kitten
42809,1,Intact Male,0,7,Male,0,tabby,1,Neonatal
42810,0,Intact Female,0,368,Female,0,point,1,Adult
42811,1,Spayed Female,0,156,Female,0,tabby,1,Kitten
42812,0,Intact Female,0,367,Female,0,tabby,1,Adult
42813,1,Spayed Female,0,2396,Female,0,calico,1,Adult
42814,1,Spayed Female,1,126,Female,0,no pattern,0,Kitten
42815,1,Neutered Male,1,77,Male,0,tabby,1,Kitten
42816,1,Intact Male,0,34,Male,0,tabby,1,Neonatal
42817,1,Spayed Female,1,247,Female,0,tabby,1,Kitten
42818,1,Spayed Female,1,92,Female,0,point,1,Kitten
42819,1,Spayed Female,1,151,Female,0,tabby,1,Kitten
42820,0,Intact Male,0,93,Male,0,no pattern,0,Kitten
42821,0,Intact Male,0,1096,Male,0,tabby,1,Adult
42822,0,Intact Female,0,15,Female,0,tabby,1,Neonatal
42823,1,Intact Male,0,3,Male,0,tabby,1,Neonatal
42824,1,Neutered Male,1,1115,Male,0,no pattern,0,Adult
42825,1,Intact Female,1,65,Female,0,torbie,1,Kitten
42826,1,Spayed Female,1,371,Female,0,torbie,1,Adult
42827,1,Neutered Male,0,1838,Male,0,tabby,1,Adult
42828,1,Spayed Female,1,393,Female,0,calico,1,Adult
42829,0,Intact Female,0,731,Female,0,tabby,1,Adult
42830,0,Intact Female,0,366,Female,0,tortie,1,Adult
42831,1,Spayed Female,1,1104,Female,0,no pattern,0,Adult
42832,1,Intact Male,0,84,Male,0,no pattern,0,Kitten
42833,1,Neutered Male,1,262,Male,0,no pattern,0,Kitten
42834,0,Intact Male,0,1461,Male,0,tabby,1,Adult
42835,0,Neutered Male,1,79,Male,0,no pattern,0,Kitten
42836,0,Intact Female,0,369,Female,0,tabby,1,Adult
42837,1,Spayed Female,1,81,Female,0,torbie,1,Kitten
42838,1,Spayed Female,1,125,Female,0,torbie,1,Kitten
42839,1,Spayed Female,1,76,Female,0,tabby,1,Kitten
42840,0,Intact Female,0,731,Female,0,torbie,1,Adult
42841,1,Neutered Male,1,72,Male,0,no pattern,0,Kitten
42842,0,Intact Female,0,2922,Female,0,calico,1,Adult
42843,1,Spayed Female,1,233,Female,0,tortie,1,Kitten
42844,0,Intact Female,0,22,Female,0,smoke,1,Neonatal
42845,1,Spayed Female,1,392,Female,0,torbie,1,Adult
42846,1,Spayed Female,1,272,Female,0,torbie,1,Kitten
42847,0,Intact Male,0,731,Male,0,no pattern,0,Adult
42848,0,Intact Female,0,15,Female,0,tabby,1,Neonatal
42849,1,Spayed Female,1,82,Female,0,calico,1,Kitten
42850,1,Neutered Male,1,408,Male,0,no pattern,0,Adult
42851,0,Intact Male,0,49,Male,0,no pattern,0,Kitten
42852,1,Spayed Female,1,2929,Female,0,tortie,1,Adult
42853,1,Intact Female,0,65,Female,0,no pattern,0,Kitten
42854,0,Neutered Male,1,54,Male,0,no pattern,0,Kitten
42855,1,Neutered Male,0,126,Male,0,no pattern,0,Kitten
42856,0,Neutered Male,1,88,Male,1,point,1,Kitten
42857,1,Neutered Male,1,373,Male,0,tabby,1,Adult
42858,0,Neutered Male,1,229,Male,0,tabby,1,Kitten
42859,0,Neutered Male,1,125,Male,0,no pattern,0,Kitten
42860,1,Spayed Female,1,2929,Female,0,tabby,1,Adult
42861,1,Intact Male,0,36,Male,0,tabby,1,Neonatal
42862,1,Neutered Male,1,4781,Male,0,no pattern,0,Adult
42863,0,Neutered Male,0,214,Male,0,tabby,1,Kitten
42864,1,Neutered Male,1,60,Male,0,tabby,1,Kitten
42865,1,Intact Male,0,39,Male,0,tabby,1,Neonatal
42866,0,Neutered Male,1,79,Male,0,no pattern,0,Kitten
42867,1,Intact Female,0,32,Female,0,tortie,1,Neonatal
42868,0,Neutered Male,1,218,Male,0,tabby,1,Kitten
42869,1,Intact Female,1,60,Female,0,no pattern,0,Kitten
42870,0,Intact Female,0,15,Female,0,tabby,1,Neonatal
42871,0,Intact Female,0,34,Female,0,tortie,1,Neonatal
42872,0,Intact Female,0,35,Female,0,tabby,1,Neonatal
42873,0,Neutered Male,0,125,Male,0,no pattern,0,Kitten
42874,0,Intact Female,0,4384,Female,1,point,1,Adult
42875,1,Neutered Male,1,3018,Male,0,tabby,1,Adult
42876,0,Neutered Male,0,370,Male,0,tabby,1,Adult
42877,1,Spayed Female,0,372,Female,0,no pattern,0,Adult
42878,1,Spayed Female,1,68,Female,0,tabby,1,Kitten
42879,0,Intact Female,0,39,Female,0,point,1,Neonatal
42880,1,Intact Male,1,98,Male,0,tabby,1,Kitten
42881,0,Intact Male,0,4,Male,0,no pattern,0,Neonatal
42882,1,Spayed Female,1,100,Female,0,calico,1,Kitten
42883,1,Spayed Female,1,651,Female,0,tabby,1,Adult
42884,1,Spayed Female,1,118,Female,0,tortie,1,Kitten
42885,1,Intact Female,0,35,Female,0,tabby,1,Neonatal
42886,1,Intact Female,0,50,Female,0,tabby,1,Kitten
42887,1,Intact Female,0,3,Female,0,tabby,1,Neonatal
42888,1,Neutered Male,1,2569,Male,1,point,1,Adult
42889,0,Intact Male,0,43,Male,0,no pattern,0,Kitten
42890,0,Intact Female,0,155,Female,0,tabby,1,Kitten
42891,0,Intact Male,0,732,Male,0,tabby,1,Adult
42892,1,Intact Male,1,57,Male,0,point,1,Kitten
42893,0,Intact Female,0,21,Female,0,tabby,1,Neonatal
42894,1,Neutered Male,1,80,Male,0,tabby,1,Kitten
42895,1,Intact Male,1,67,Male,0,tabby,1,Kitten
42896,1,Spayed Female,0,373,Female,0,tabby,1,Adult
42897,1,Intact Female,0,1462,Female,0,no pattern,0,Adult
42898,1,Neutered Male,0,4392,Male,0,no pattern,0,Adult
42899,0,Spayed Female,1,128,Female,0,no pattern,0,Kitten
42900,0,Intact Male,0,2195,Male,0,no pattern,0,Adult
42901,0,Intact Male,0,367,Male,0,no pattern,0,Adult
42902,1,Intact Male,0,91,Male,0,tabby,1,Kitten
42903,1,Intact Male,0,47,Male,0,tabby,1,Kitten
42904,0,Intact Female,0,368,Female,0,tabby,1,Adult
42905,1,Neutered Male,1,180,Male,0,tabby,1,Kitten
42906,0,Spayed Female,0,379,Female,0,tabby,1,Adult
42907,0,Intact Male,0,2,Male,0,tabby,1,Neonatal
42908,1,Spayed Female,1,794,Female,0,no pattern,0,Adult
42909,0,Intact Male,0,94,Male,1,point,1,Kitten
42910,1,Spayed Female,1,65,Female,1,no pattern,0,Kitten
42911,0,Intact Female,0,366,Female,0,no pattern,0,Adult
42912,0,Intact Male,0,35,Male,0,tabby,1,Neonatal
42913,1,Neutered Male,1,78,Male,0,tabby,1,Kitten
42914,1,Spayed Female,1,248,Female,0,tabby,1,Kitten
42915,0,Neutered Male,0,2925,Male,0,tabby,1,Adult
42916,1,Spayed Female,1,1467,Female,0,no pattern,0,Adult
42917,1,Neutered Male,1,87,Male,0,tabby,1,Kitten
42918,1,Intact Male,0,21,Male,0,no pattern,0,Neonatal
42919,0,Intact Male,0,47,Male,0,tabby,1,Kitten
42920,1,Intact Female,0,369,Female,0,smoke,1,Adult
42921,1,Spayed Female,1,63,Female,0,tabby,1,Kitten
42922,1,Intact Male,0,44,Male,0,no pattern,0,Kitten
42923,1,Spayed Female,1,365,Female,1,no pattern,0,Adult
42924,0,Spayed Female,0,740,Female,0,tabby,1,Adult
42925,1,Neutered Male,1,184,Male,0,no pattern,0,Kitten
42926,1,Neutered Male,1,741,Male,0,tabby,1,Adult
42927,1,Spayed Female,1,101,Female,0,tortie,1,Kitten
42928,1,Neutered Male,1,83,Male,1,point,1,Kitten
42929,1,Spayed Female,1,5501,Female,1,calico,1,Adult
42930,1,Neutered Male,1,148,Male,0,no pattern,0,Kitten
42931,1,Spayed Female,1,83,Female,0,tabby,1,Kitten
42932,1,Intact Female,1,1468,Female,0,tabby,1,Adult
42933,1,Spayed Female,1,388,Female,0,no pattern,0,Adult
42934,1,Neutered Male,1,55,Male,0,tabby,1,Kitten
42935,1,Spayed Female,1,121,Female,0,tabby,1,Kitten
42936,0,Intact Female,0,369,Female,0,tabby,1,Adult
42937,0,Intact Male,0,31,Male,0,no pattern,0,Neonatal
42938,1,Neutered Male,1,65,Male,0,tabby,1,Kitten
42939,1,Neutered Male,1,105,Male,0,no pattern,0,Kitten
42940,0,Neutered Male,0,1830,Male,0,point,1,Adult
42941,1,Spayed Female,1,2601,Female,0,tabby,1,Adult
42942,1,Neutered Male,1,1827,Male,0,tabby,1,Adult
42943,1,Neutered Male,1,80,Male,0,tabby,1,Kitten
42944,0,Spayed Female,1,74,Female,0,calico,1,Kitten
42945,0,Intact Female,0,375,Female,0,no pattern,0,Adult
42946,1,Neutered Male,1,113,Male,0,no pattern,0,Kitten
42947,1,Neutered Male,0,742,Male,0,no pattern,0,Adult
42948,1,Intact Female,0,1475,Female,0,smoke,1,Adult
42949,0,Intact Female,0,366,Female,0,calico,1,Adult
42950,1,Spayed Female,1,160,Female,0,tabby,1,Kitten
42951,1,Spayed Female,1,80,Female,0,tortie,1,Kitten
42952,1,Neutered Male,1,312,Male,0,tabby,1,Kitten
42953,1,Neutered Male,1,90,Male,0,tabby,1,Kitten
42954,0,Spayed Female,0,97,Female,0,no pattern,0,Kitten
42955,1,Spayed Female,1,403,Female,0,tortie,1,Adult
42956,0,Neutered Male,1,80,Male,0,tabby,1,Kitten
42957,0,Intact Female,0,734,Female,0,tabby,1,Adult
42958,0,Intact Female,0,247,Female,0,tabby,1,Kitten
42959,0,Intact Female,0,5,Female,0,calico,1,Neonatal
42960,1,Neutered Male,1,761,Male,0,no pattern,0,Adult
42961,1,Intact Female,0,47,Female,0,no pattern,0,Kitten
42962,0,Neutered Male,1,121,Male,0,no pattern,0,Kitten
42963,0,Intact Female,0,3,Female,0,no pattern,0,Neonatal
42964,0,Spayed Female,1,69,Female,0,tabby,1,Kitten
42965,0,Intact Female,0,127,Female,0,no pattern,0,Kitten
42966,1,Neutered Male,1,736,Male,0,tabby,1,Adult
42967,0,Intact Female,0,189,Female,0,tortie,1,Kitten
42968,1,Neutered Male,1,68,Male,0,no pattern,0,Kitten
42969,1,Neutered Male,1,2926,Male,0,tabby,1,Adult
42970,1,Neutered Male,1,146,Male,0,tabby,1,Kitten
42971,0,Neutered Male,1,73,Male,0,no pattern,0,Kitten
42972,1,Neutered Male,1,66,Male,0,no pattern,0,Kitten
42973,1,Spayed Female,1,86,Female,0,no pattern,0,Kitten
42974,1,Spayed Female,1,110,Female,0,calico,1,Kitten
42975,0,Neutered Male,1,73,Male,1,point,1,Kitten
42976,0,Intact Female,0,216,Female,0,torbie,1,Kitten
42977,0,Neutered Male,0,734,Male,1,point,1,Adult
42978,1,Spayed Female,1,76,Female,1,no pattern,0,Kitten
42979,0,Neutered Male,1,96,Male,0,tabby,1,Kitten
42980,1,Neutered Male,1,2426,Male,1,no pattern,0,Adult
42981,1,Neutered Male,1,3743,Male,0,tabby,1,Adult
42982,1,Spayed Female,1,1473,Female,0,calico,1,Adult
42983,0,Intact Female,0,157,Female,0,tabby,1,Kitten
42984,0,Intact Female,0,138,Female,0,torbie,1,Kitten
